"pair","n","mean_x","mean_y","mean_diff","sd_pooled","delta","t1","p1","t2","p2","tost_p","ci90_low","ci90_high","equivalence"
"A vs B",53,3.49326145552561,3.56603773584906,-0.0727762803234501,0.652109336152918,0.163027334038229,2.05194492022341,0.0226128430159783,-5.36122304110596,9.6156166604183e-07,0.0226128430159783,-0.146434427420318,0.00088186677341752,TRUE
"A vs C",53,3.49326145552561,3.33962264150943,0.153638814016172,0.682763928999916,0.170690982249979,5.8177624936871,1.86481456054821e-07,-0.305878355700849,0.380459258982224,0.380459258982224,0.0602779054836441,0.246999722548701,FALSE
"B vs C",53,3.56603773584906,3.33962264150943,0.226415094339623,0.640774611945944,0.160193652986486,8.83019311840302,3.18078896555107e-12,1.51250617005299,0.931770285498709,0.931770285498709,0.153092861495894,0.299737327183352,FALSE
